epoch,step,train_acc_epoch,train_acc_step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,train_precision_epoch,train_precision_step,train_recall_epoch,train_recall_step,val_acc_epoch,val_acc_step,val_f1_epoch,val_f1_step,val_loss_epoch,val_loss_step,val_precision_epoch,val_precision_step,val_recall_epoch,val_recall_step
,0,,,,,,,,,,,,0.375,,0.375,,1.1130421161651611,,0.375,,0.375
,1,,,,,,,,,,,,0.375,,0.375,,1.105549931526184,,0.375,,0.375
,2,,,,,,,,,,,,0.4375,,0.4375,,1.0836687088012695,,0.4375,,0.4375
,3,,,,,,,,,,,,0.1875,,0.1875,,1.3913590908050537,,0.1875,,0.1875
,4,,,,,,,,,,,,0.1875,,0.1875,,1.3817516565322876,,0.1875,,0.1875
,5,,,,,,,,,,,,0.5,,0.5,,1.099156141281128,,0.5,,0.5
,6,,,,,,,,,,,,0.0625,,0.0625,,1.248580813407898,,0.0625,,0.0625
,7,,,,,,,,,,,,0.5,,0.5,,1.056253433227539,,0.5,,0.5
,8,,,,,,,,,,,,0.375,,0.375,,1.1985437870025635,,0.375,,0.375
,9,,,,,,,,,,,,0.3333333432674408,,0.3333333432674408,,1.3163927793502808,,0.3333333432674408,,0.3333333432674408
0,43,,,,,,,,,,,0.3333333432674408,,0.3333333432674408,,1.1916322708129883,,0.3333333432674408,,0.3333333432674408,
0,43,0.3452211022377014,,0.3452211022377014,,1.3183767795562744,,0.3452211022377014,,0.3452211022377014,,,,,,,,,,,
1,49,,0.3125,,0.3125,,1.0983092784881592,,0.3125,,0.3125,,,,,,,,,,
,10,,,,,,,,,,,,0.375,,0.375,,1.0572326183319092,,0.375,,0.375
,11,,,,,,,,,,,,0.375,,0.375,,1.0400559902191162,,0.375,,0.375
,12,,,,,,,,,,,,0.4375,,0.4375,,1.0268279314041138,,0.4375,,0.4375
,13,,,,,,,,,,,,0.1875,,0.1875,,1.2590044736862183,,0.1875,,0.1875
,14,,,,,,,,,,,,0.1875,,0.1875,,1.2353298664093018,,0.1875,,0.1875
,15,,,,,,,,,,,,0.5,,0.5,,1.032049298286438,,0.5,,0.5
,16,,,,,,,,,,,,0.0625,,0.0625,,1.1576625108718872,,0.0625,,0.0625
,17,,,,,,,,,,,,0.5,,0.5,,1.0059313774108887,,0.5,,0.5
,18,,,,,,,,,,,,0.375,,0.375,,1.0923489332199097,,0.375,,0.375
,19,,,,,,,,,,,,0.3333333432674408,,0.3333333432674408,,1.1859211921691895,,0.3333333432674408,,0.3333333432674408
1,87,,,,,,,,,,,0.3333333432674408,,0.3333333432674408,,1.1041241884231567,,0.3333333432674408,,0.3333333432674408,
1,87,0.3366619050502777,,0.3366619050502777,,1.1254081726074219,,0.3366619050502777,,0.3366619050502777,,,,,,,,,,,
2,99,,0.4375,,0.4375,,1.0105292797088623,,0.4375,,0.4375,,,,,,,,,,
,20,,,,,,,,,,,,0.4375,,0.4375,,1.0410736799240112,,0.4375,,0.4375
,21,,,,,,,,,,,,0.5625,,0.5625,,0.9736977219581604,,0.5625,,0.5625
,22,,,,,,,,,,,,0.5,,0.5,,1.0239417552947998,,0.5,,0.5
,23,,,,,,,,,,,,0.5625,,0.5625,,0.8773742914199829,,0.5625,,0.5625
,24,,,,,,,,,,,,0.5625,,0.5625,,0.8160439729690552,,0.5625,,0.5625
,25,,,,,,,,,,,,0.4375,,0.4375,,1.042152762413025,,0.4375,,0.4375
,26,,,,,,,,,,,,0.875,,0.875,,0.8447675108909607,,0.875,,0.875
,27,,,,,,,,,,,,0.375,,0.375,,1.0441601276397705,,0.375,,0.375
,28,,,,,,,,,,,,0.5625,,0.5625,,0.9165987968444824,,0.5625,,0.5625
,29,,,,,,,,,,,,0.6666666865348816,,0.6666666865348816,,0.8987709879875183,,0.6666666865348816,,0.6666666865348816
2,131,,,,,,,,,,,0.54666668176651,,0.54666668176651,,0.9511306881904602,,0.54666668176651,,0.54666668176651,
2,131,0.4265335202217102,,0.4265335202217102,,1.0427544116973877,,0.4265335202217102,,0.4265335202217102,,,,,,,,,,,
3,149,,0.5,,0.5,,1.0180362462997437,,0.5,,0.5,,,,,,,,,,
,30,,,,,,,,,,,,0.75,,0.75,,0.8607141375541687,,0.75,,0.75
,31,,,,,,,,,,,,0.875,,0.875,,0.7056332230567932,,0.875,,0.875
,32,,,,,,,,,,,,0.625,,0.625,,0.789226770401001,,0.625,,0.625
,33,,,,,,,,,,,,0.4375,,0.4375,,0.9498914480209351,,0.4375,,0.4375
,34,,,,,,,,,,,,0.5625,,0.5625,,0.7651697993278503,,0.5625,,0.5625
,35,,,,,,,,,,,,0.75,,0.75,,0.8639433979988098,,0.75,,0.75
,36,,,,,,,,,,,,0.75,,0.75,,0.7088940739631653,,0.75,,0.75
,37,,,,,,,,,,,,0.625,,0.625,,0.7778385281562805,,0.625,,0.625
,38,,,,,,,,,,,,0.8125,,0.8125,,0.6983646750450134,,0.8125,,0.8125
,39,,,,,,,,,,,,0.5,,0.5,,0.8803151249885559,,0.5,,0.5
3,175,,,,,,,,,,,0.6800000071525574,,0.6800000071525574,,0.7946447730064392,,0.6800000071525574,,0.6800000071525574,
3,175,0.5492154359817505,,0.5492154359817505,,0.9117563962936401,,0.5492154359817505,,0.5492154359817505,,,,,,,,,,,
4,199,,0.375,,0.375,,1.136479377746582,,0.375,,0.375,,,,,,,,,,
,40,,,,,,,,,,,,0.6875,,0.6875,,0.8640272617340088,,0.6875,,0.6875
,41,,,,,,,,,,,,0.625,,0.625,,0.6427575945854187,,0.625,,0.625
,42,,,,,,,,,,,,0.5,,0.5,,0.8468673229217529,,0.5,,0.5
,43,,,,,,,,,,,,0.6875,,0.6875,,0.9178277850151062,,0.6875,,0.6875
,44,,,,,,,,,,,,0.6875,,0.6875,,0.6041380763053894,,0.6875,,0.6875
,45,,,,,,,,,,,,0.5,,0.5,,1.0062676668167114,,0.5,,0.5
,46,,,,,,,,,,,,0.875,,0.875,,0.46370863914489746,,0.875,,0.875
,47,,,,,,,,,,,,0.4375,,0.4375,,0.8568926453590393,,0.4375,,0.4375
,48,,,,,,,,,,,,0.75,,0.75,,0.6270610094070435,,0.75,,0.75
,49,,,,,,,,,,,,0.5,,0.5,,0.8592231273651123,,0.5,,0.5
4,219,,,,,,,,,,,0.6333333253860474,,0.6333333253860474,,0.7628540396690369,,0.6333333253860474,,0.6333333253860474,
4,219,0.6077032685279846,,0.6077032685279846,,0.7962360978126526,,0.6077032685279846,,0.6077032685279846,,,,,,,,,,,
