epoch,step,train_acc_epoch,train_acc_step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,train_precision_epoch,train_precision_step,train_recall_epoch,train_recall_step,val_acc_epoch,val_acc_step,val_f1_epoch,val_f1_step,val_loss_epoch,val_loss_step,val_precision_epoch,val_precision_step,val_recall_epoch,val_recall_step
,0,,,,,,,,,,,,0.53125,,0.53125,,1.0421453714370728,,0.53125,,0.53125
,1,,,,,,,,,,,,0.78125,,0.78125,,0.9593402743339539,,0.78125,,0.78125
,2,,,,,,,,,,,,0.625,,0.625,,0.9689474105834961,,0.625,,0.625
,3,,,,,,,,,,,,0.59375,,0.59375,,1.0140082836151123,,0.59375,,0.59375
,4,,,,,,,,,,,,0.5909090638160706,,0.5909090638160706,,1.010133981704712,,0.5909090638160706,,0.5909090638160706
0,21,,,,,,,,,,,0.6266666650772095,,0.6266666650772095,,0.998167097568512,,0.6266666650772095,,0.6266666650772095,
0,21,0.48644793033599854,,0.48644793033599854,,1.0327187776565552,,0.48644793033599854,,0.48644793033599854,,,,,,,,,,,
,5,,,,,,,,,,,,0.625,,0.625,,0.9428456425666809,,0.625,,0.625
,6,,,,,,,,,,,,0.625,,0.625,,0.8913490176200867,,0.625,,0.625
,7,,,,,,,,,,,,0.5625,,0.5625,,0.9224835634231567,,0.5625,,0.5625
,8,,,,,,,,,,,,0.625,,0.625,,0.903974711894989,,0.625,,0.625
,9,,,,,,,,,,,,0.5909090638160706,,0.5909090638160706,,0.9893543124198914,,0.5909090638160706,,0.5909090638160706
1,43,,,,,,,,,,,0.6066666841506958,,0.6066666841506958,,0.9260446429252625,,0.6066666841506958,,0.6066666841506958,
1,43,0.6305277943611145,,0.6305277943611145,,0.9096288084983826,,0.6305277943611145,,0.6305277943611145,,,,,,,,,,,
2,49,,0.625,,0.625,,0.8703934550285339,,0.625,,0.625,,,,,,,,,,
,10,,,,,,,,,,,,0.59375,,0.59375,,0.9041031002998352,,0.59375,,0.59375
,11,,,,,,,,,,,,0.84375,,0.84375,,0.7870641946792603,,0.84375,,0.84375
,12,,,,,,,,,,,,0.6875,,0.6875,,0.8361945748329163,,0.6875,,0.6875
,13,,,,,,,,,,,,0.6875,,0.6875,,0.8912864923477173,,0.6875,,0.6875
,14,,,,,,,,,,,,0.7272727489471436,,0.7272727489471436,,0.8441402316093445,,0.7272727489471436,,0.7272727489471436
2,65,,,,,,,,,,,0.7066666483879089,,0.7066666483879089,,0.8531188368797302,,0.7066666483879089,,0.7066666483879089,
2,65,0.6633380651473999,,0.6633380651473999,,0.8388165235519409,,0.6633380651473999,,0.6633380651473999,,,,,,,,,,,
,15,,,,,,,,,,,,0.6875,,0.6875,,0.8831250667572021,,0.6875,,0.6875
,16,,,,,,,,,,,,0.78125,,0.78125,,0.7498825788497925,,0.78125,,0.78125
,17,,,,,,,,,,,,0.78125,,0.78125,,0.7892141938209534,,0.78125,,0.78125
,18,,,,,,,,,,,,0.6875,,0.6875,,0.8325754404067993,,0.6875,,0.6875
,19,,,,,,,,,,,,0.7727272510528564,,0.7727272510528564,,0.8250023126602173,,0.7727272510528564,,0.7727272510528564
3,87,,,,,,,,,,,0.7400000095367432,,0.7400000095367432,,0.8153571486473083,,0.7400000095367432,,0.7400000095367432,
3,87,0.7218259572982788,,0.7218259572982788,,0.7793352007865906,,0.7218259572982788,,0.7218259572982788,,,,,,,,,,,
4,99,,0.8125,,0.8125,,0.7009435296058655,,0.8125,,0.8125,,,,,,,,,,
,20,,,,,,,,,,,,0.65625,,0.65625,,0.8284530639648438,,0.65625,,0.65625
,21,,,,,,,,,,,,0.8125,,0.8125,,0.6764352321624756,,0.8125,,0.8125
,22,,,,,,,,,,,,0.875,,0.875,,0.74554443359375,,0.875,,0.875
,23,,,,,,,,,,,,0.71875,,0.71875,,0.7901002168655396,,0.71875,,0.71875
,24,,,,,,,,,,,,0.8181818127632141,,0.8181818127632141,,0.739152729511261,,0.8181818127632141,,0.8181818127632141
4,109,,,,,,,,,,,0.7733333110809326,,0.7733333110809326,,0.7570561170578003,,0.7733333110809326,,0.7733333110809326,
4,109,0.7660484910011292,,0.7660484910011292,,0.7238345742225647,,0.7660484910011292,,0.7660484910011292,,,,,,,,,,,
