epoch,step,val_acc_epoch,val_acc_step,val_f1_epoch,val_f1_step,val_loss_epoch,val_loss_step,val_precision_epoch,val_precision_step,val_recall_epoch,val_recall_step
,0,,0.875,,0.875,,0.5653339624404907,,0.875,,0.875
,1,,0.6875,,0.6875,,0.6916163563728333,,0.6875,,0.6875
,2,,0.8125,,0.8125,,0.43529945611953735,,0.8125,,0.8125
,3,,0.8125,,0.8125,,0.523661732673645,,0.8125,,0.8125
,4,,0.6875,,0.6875,,0.6216824054718018,,0.6875,,0.6875
,5,,0.625,,0.625,,0.8010837435722351,,0.625,,0.625
,6,,1.0,,1.0,,0.20050957798957825,,1.0,,1.0
,7,,0.75,,0.75,,0.8515085577964783,,0.75,,0.75
,8,,0.875,,0.875,,0.5556485056877136,,0.875,,0.875
,9,,0.6666666865348816,,0.6666666865348816,,0.4911241829395294,,0.6666666865348816,,0.6666666865348816
0,0,0.7866666913032532,,0.7866666913032532,,0.5792550444602966,,0.7866666913032532,,0.7866666913032532,
