epoch,step,test_acc_epoch,test_acc_step,test_f1_epoch,test_f1_step,test_loss_epoch,test_loss_step,test_precision_epoch,test_precision_step,test_recall_epoch,test_recall_step
,0,,0.75,,0.75,,0.5725395679473877,,0.75,,0.75
,1,,0.75,,0.75,,0.46309998631477356,,0.75,,0.75
,2,,0.875,,0.875,,0.39594578742980957,,0.875,,0.875
,3,,0.75,,0.75,,0.4514416456222534,,0.75,,0.75
,4,,0.625,,0.625,,0.640440046787262,,0.625,,0.625
,5,,0.875,,0.875,,0.4728791117668152,,0.875,,0.875
,6,,0.75,,0.75,,0.5619500875473022,,0.75,,0.75
,7,,0.6875,,0.6875,,0.4780411124229431,,0.6875,,0.6875
,8,,0.8125,,0.8125,,0.5891180038452148,,0.8125,,0.8125
,9,,0.7142857313156128,,0.7142857313156128,,0.5767501592636108,,0.7142857313156128,,0.7142857313156128
0,0,0.7615894079208374,,0.7615894079208374,,0.5168512463569641,,0.7615894079208374,,0.7615894079208374,
