epoch,step,train_acc_epoch,train_acc_step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,train_precision_epoch,train_precision_step,train_recall_epoch,train_recall_step,val_acc_epoch,val_acc_step,val_f1_epoch,val_f1_step,val_loss_epoch,val_loss_step,val_precision_epoch,val_precision_step,val_recall_epoch,val_recall_step
,0,,,,,,,,,,,,0.53125,,0.53125,,1.0184513330459595,,0.53125,,0.53125
,1,,,,,,,,,,,,0.4375,,0.4375,,1.1360862255096436,,0.4375,,0.4375
,2,,,,,,,,,,,,0.46875,,0.46875,,1.1384764909744263,,0.46875,,0.46875
,3,,,,,,,,,,,,0.59375,,0.59375,,0.9330177307128906,,0.59375,,0.59375
,4,,,,,,,,,,,,0.27272728085517883,,0.27272728085517883,,1.1896827220916748,,0.27272728085517883,,0.27272728085517883
0,21,,,,,,,,,,,0.47333332896232605,,0.47333332896232605,,1.076040267944336,,0.47333332896232605,,0.47333332896232605,
0,21,0.3523537814617157,,0.3523537814617157,,1.3198575973510742,,0.3523537814617157,,0.3523537814617157,,,,,,,,,,,
,5,,,,,,,,,,,,0.65625,,0.65625,,0.73525071144104,,0.65625,,0.65625
,6,,,,,,,,,,,,0.625,,0.625,,0.8209336400032043,,0.625,,0.625
,7,,,,,,,,,,,,0.625,,0.625,,0.7933607697486877,,0.625,,0.625
,8,,,,,,,,,,,,0.6875,,0.6875,,0.7837756276130676,,0.6875,,0.6875
,9,,,,,,,,,,,,0.7272727489471436,,0.7272727489471436,,0.7370243072509766,,0.7272727489471436,,0.7272727489471436
1,43,,,,,,,,,,,0.6600000262260437,,0.6600000262260437,,0.776538610458374,,0.6600000262260437,,0.6600000262260437,
1,43,0.636233925819397,,0.636233925819397,,0.8600624799728394,,0.636233925819397,,0.636233925819397,,,,,,,,,,,
2,49,,0.59375,,0.59375,,0.8073252439498901,,0.59375,,0.59375,,,,,,,,,,
,10,,,,,,,,,,,,0.6875,,0.6875,,0.7066782712936401,,0.6875,,0.6875
,11,,,,,,,,,,,,0.71875,,0.71875,,0.7051626443862915,,0.71875,,0.71875
,12,,,,,,,,,,,,0.59375,,0.59375,,0.7687340378761292,,0.59375,,0.59375
,13,,,,,,,,,,,,0.78125,,0.78125,,0.650709331035614,,0.78125,,0.78125
,14,,,,,,,,,,,,0.7272727489471436,,0.7272727489471436,,0.6025097966194153,,0.7272727489471436,,0.7272727489471436
2,65,,,,,,,,,,,0.699999988079071,,0.699999988079071,,0.6923754215240479,,0.699999988079071,,0.699999988079071,
2,65,0.6961483359336853,,0.6961483359336853,,0.7175177335739136,,0.6961483359336853,,0.6961483359336853,,,,,,,,,,,
,15,,,,,,,,,,,,0.75,,0.75,,0.5983700156211853,,0.75,,0.75
,16,,,,,,,,,,,,0.71875,,0.71875,,0.664851725101471,,0.71875,,0.71875
